2026-07-13 12:32:42 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_ENV : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_ENV/1.2 apres 3 tentatives : None
2026-07-13 12:32:42 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Brevets totaux et brevets liés à l'environnement - FUAs' (DSD_FUA_INNOV@DF_PATENTS)...
2026-07-13 12:32:42 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:42 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:42 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:42 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_INNOV : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_INNOV/1.0 apres 3 tentatives : None
2026-07-13 12:32:42 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Marché du travail - FUA' (DSD_FUA_LAB@DF_LABOUR)...
2026-07-13 12:32:43 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:43 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:43 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:43 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_LAB : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_LAB/1.1 apres 3 tentatives : None
2026-07-13 12:32:43 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Véhicules - Villes et FUAs' (DSD_FUA_SOC@DF_VEH)...
2026-07-13 12:32:43 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:43 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:43 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:43 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_SOC : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_SOC/1.0 apres 3 tentatives : None
2026-07-13 12:32:43 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Densité de population et de la surface bâtie - Villes et FUA' (DSD_FUA_TERR@DF_DENSITY)...
